time,tem,oxg,hum,carb,people,door,aircon
2018-01-05 16:00:03.0,20.00,20.90,61.70,53.60,0,0,0
2018-01-05 16:00:14.0,20.00,20.90,61.70,53.70,0,0,0
2018-01-05 16:00:25.0,20.00,20.90,61.80,53.80,0,0,0
2018-01-05 16:00:35.0,20.00,20.90,61.80,54.00,0,0,0
2018-01-05 16:00:46.0,20.00,20.90,61.90,54.30,0,0,0
2018-01-05 16:00:57.0,20.00,20.90,61.90,54.40,0,0,0
2018-01-05 16:01:07.0,20.00,20.90,61.90,54.50,0,0,0
2018-01-05 16:01:18.0,20.00,20.90,61.90,54.50,0,0,0
2018-01-05 16:01:29.0,20.00,20.90,61.90,54.40,0,0,0
2018-01-05 16:01:40.0,20.00,20.90,61.90,54.30,0,0,0
2018-01-05 16:01:51.0,20.00,20.90,61.90,54.50,0,0,0
2018-01-05 16:02:02.0,20.00,20.90,61.80,54.50,0,0,0
2018-01-05 16:02:12.0,20.00,20.90,61.80,54.70,0,0,0
2018-01-05 16:02:23.0,20.00,20.90,61.80,54.60,0,0,0
2018-01-05 16:02:33.0,20.00,20.90,61.80,54.50,0,0,0
2018-01-05 16:02:44.0,20.00,20.90,61.90,54.60,0,0,0
2018-01-05 16:02:55.0,20.00,20.90,62.00,55.00,0,0,0
2018-01-05 16:03:05.0,20.00,20.90,62.00,55.30,0,0,0
2018-01-05 16:03:16.0,20.00,20.90,62.00,55.50,0,0,0
2018-01-05 16:03:27.0,20.00,20.90,62.00,55.60,0,0,0
2018-01-05 16:03:38.0,19.90,20.90,62.00,55.60,0,0,0
2018-01-05 16:03:48.0,19.90,20.90,62.10,55.40,0,0,0
2018-01-05 16:03:59.0,19.90,20.90,62.10,55.40,0,0,0
2018-01-05 16:04:10.0,19.90,20.90,62.10,55.60,0,0,0
2018-01-05 16:04:20.0,19.90,20.90,62.20,55.50,0,0,0
2018-01-05 16:04:31.0,19.90,20.90,62.20,55.60,0,0,0
2018-01-05 16:04:42.0,19.90,20.90,62.20,55.60,0,0,0
2018-01-05 16:04:52.0,19.90,20.90,62.20,55.70,0,0,0
2018-01-05 16:05:03.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:05:14.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:05:25.0,19.90,20.90,62.30,55.60,0,1,0
2018-01-05 16:05:35.0,19.90,20.90,62.30,55.50,0,1,0
2018-01-05 16:05:46.0,19.90,20.90,62.30,55.30,0,1,0
2018-01-05 16:05:57.0,19.90,20.90,62.20,55.40,0,1,0
2018-01-05 16:06:07.0,19.90,20.90,62.20,55.60,0,1,0
2018-01-05 16:06:18.0,19.90,20.90,62.20,55.60,0,1,0
2018-01-05 16:06:29.0,19.90,20.90,62.20,55.60,0,1,0
2018-01-05 16:06:40.0,19.90,20.90,62.20,55.60,0,1,0
2018-01-05 16:06:50.0,19.90,20.90,62.20,55.80,0,1,0
2018-01-05 16:07:03.0,19.90,20.90,62.30,55.80,0,1,0
2018-01-05 16:07:14.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:07:25.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:07:36.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:07:47.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:07:57.0,19.90,20.90,62.20,55.70,0,1,0
2018-01-05 16:08:08.0,19.90,20.90,62.20,53.90,0,1,0
2018-01-05 16:08:19.0,19.90,20.90,62.30,52.80,0,1,0
2018-01-05 16:08:29.0,19.90,20.90,62.20,52.70,0,1,0
2018-01-05 16:08:40.0,19.90,20.90,62.30,52.70,0,1,0
2018-01-05 16:08:51.0,19.90,20.90,62.20,52.80,0,1,0
2018-01-05 16:09:02.0,19.90,20.90,62.20,52.90,0,1,0
2018-01-05 16:09:12.0,19.90,20.90,62.20,52.90,0,1,0
2018-01-05 16:09:23.0,19.80,20.90,62.20,53.00,0,1,0
2018-01-05 16:09:34.0,19.90,20.90,62.20,53.00,0,1,0
2018-01-05 16:09:44.0,19.80,20.90,62.20,53.00,0,1,0
2018-01-05 16:09:55.0,19.80,20.90,62.20,53.30,0,1,0
2018-01-05 16:10:06.0,19.80,20.90,62.20,53.20,0,1,0
2018-01-05 16:10:17.0,19.80,20.90,62.20,53.20,0,1,0
2018-01-05 16:10:27.0,19.80,20.90,62.20,52.90,0,1,0
2018-01-05 16:10:38.0,19.80,20.90,62.20,52.80,0,1,0
2018-01-05 16:10:49.0,19.80,20.90,62.20,53.00,0,1,0
2018-01-05 16:10:59.0,19.80,20.90,62.10,53.20,0,1,0
2018-01-05 16:11:10.0,19.80,20.90,62.00,53.20,0,0,1
2018-01-05 16:11:21.0,19.80,20.90,62.00,53.10,0,0,1
2018-01-05 16:11:32.0,19.80,20.90,62.10,52.70,0,0,1
2018-01-05 16:11:42.0,19.80,20.90,62.10,52.70,0,0,1
2018-01-05 16:11:53.0,19.80,20.90,62.00,52.80,0,0,1
2018-01-05 16:12:04.0,19.80,20.90,62.10,52.80,0,0,1
2018-01-05 16:12:14.0,19.80,20.90,62.10,52.70,0,0,1
2018-01-05 16:12:25.0,19.80,20.90,62.10,53.10,0,0,1
2018-01-05 16:12:36.0,19.80,20.90,62.10,53.20,0,0,1
2018-01-05 16:12:46.0,19.80,20.90,62.10,53.20,0,0,1
2018-01-05 16:12:57.0,19.80,20.90,62.10,53.20,0,0,1
2018-01-05 16:13:08.0,19.80,20.90,62.20,53.20,0,0,1
2018-01-05 16:13:19.0,19.80,20.90,62.20,53.20,0,0,1
2018-01-05 16:13:29.0,19.80,20.90,62.20,53.30,0,0,1
2018-01-05 16:13:40.0,19.80,20.90,62.20,53.60,0,0,1
2018-01-05 16:13:51.0,19.80,20.90,62.20,53.40,0,0,1
2018-01-05 16:14:01.0,19.80,20.90,62.20,53.20,0,0,1
2018-01-05 16:14:12.0,19.80,20.90,62.20,53.20,0,0,1
2018-01-05 16:14:23.0,19.80,20.90,62.20,53.30,0,0,1
2018-01-05 16:14:34.0,19.80,20.90,62.20,53.40,0,0,1
2018-01-05 16:14:44.0,19.80,20.90,62.20,53.30,0,0,1
2018-01-05 16:14:55.0,19.80,20.90,62.20,53.40,0,0,1
2018-01-05 16:15:06.0,19.80,20.90,62.20,53.40,0,1,1
2018-01-05 16:15:16.0,19.80,20.90,62.20,53.20,0,1,1
2018-01-05 16:15:27.0,19.80,20.90,62.20,53.10,0,1,1
2018-01-05 16:15:38.0,19.80,20.90,62.20,53.20,0,1,1
2018-01-05 16:15:48.0,19.80,20.90,62.20,53.20,0,1,1
2018-01-05 16:15:59.0,19.80,20.90,62.30,52.90,0,1,1
2018-01-05 16:16:12.0,19.80,20.90,62.30,52.80,0,1,1
2018-01-05 16:16:22.0,19.80,20.90,62.30,52.80,0,1,1
2018-01-05 16:16:33.0,19.80,20.90,62.30,53.10,0,1,1
2018-01-05 16:16:44.0,19.80,20.90,62.40,52.80,0,1,1
2018-01-05 16:16:54.0,19.80,20.90,62.30,52.90,0,1,1
2018-01-05 16:17:05.0,19.80,20.90,62.20,52.90,0,1,1
2018-01-05 16:17:16.0,19.80,20.90,62.20,52.70,0,1,1
2018-01-05 16:17:26.0,19.80,20.90,62.20,52.80,0,1,1
2018-01-05 16:17:37.0,19.80,20.90,62.20,52.80,0,1,1
2018-01-05 16:17:48.0,19.80,20.90,62.20,52.80,0,1,1
2018-01-05 16:17:58.0,19.80,20.90,62.20,52.80,0,1,1
2018-01-05 16:18:09.0,19.80,20.90,62.20,52.40,0,1,1
2018-01-05 16:18:20.0,19.80,20.90,62.20,52.50,0,1,1
2018-01-05 16:18:31.0,19.80,20.90,62.20,52.60,0,1,1
2018-01-05 16:18:41.0,19.80,20.90,62.20,52.60,0,1,1
2018-01-05 16:18:52.0,19.80,20.90,62.20,52.90,0,1,1
2018-01-05 16:19:03.0,19.80,20.90,62.10,53.00,0,1,1
2018-01-05 16:19:13.0,19.80,20.90,62.10,52.90,0,1,1
2018-01-05 16:19:24.0,19.80,20.90,62.10,52.70,0,1,1
2018-01-05 16:19:36.0,19.80,20.90,62.10,52.40,0,1,1
2018-01-05 16:19:45.0,19.80,20.90,62.00,52.50,0,1,1
2018-01-05 16:19:56.0,19.80,20.90,62.00,52.50,0,1,1
2018-01-05 16:20:07.0,19.80,20.90,62.00,52.60,1,1,1
2018-01-05 16:20:17.0,19.80,20.90,62.00,52.70,1,1,1
2018-01-05 16:20:28.0,19.80,20.90,62.00,52.70,1,1,1
2018-01-05 16:20:39.0,19.80,20.90,62.00,52.80,1,1,1
2018-01-05 16:20:49.0,19.80,20.90,62.00,52.90,1,1,1
2018-01-05 16:21:00.0,19.80,20.90,62.10,53.00,1,1,1
2018-01-05 16:21:11.0,19.80,20.90,62.20,52.80,1,1,1
2018-01-05 16:21:21.0,19.80,20.90,62.20,52.60,1,1,1
2018-01-05 16:21:32.0,19.80,20.90,62.20,52.50,1,1,1
2018-01-05 16:21:43.0,19.80,20.90,62.30,52.60,1,1,1
2018-01-05 16:21:53.0,19.80,20.90,62.30,52.70,1,1,1
2018-01-05 16:22:04.0,19.80,20.90,62.20,52.60,1,1,1
2018-01-05 16:22:15.0,19.80,20.90,62.20,52.80,1,1,1
2018-01-05 16:22:25.0,19.80,20.90,62.20,53.00,1,1,1
2018-01-05 16:22:36.0,19.80,20.90,62.20,52.90,1,1,1
2018-01-05 16:22:47.0,19.80,20.90,62.20,52.90,1,1,1
2018-01-05 16:22:58.0,19.80,20.90,62.20,52.70,1,1,1
2018-01-05 16:23:08.0,19.80,20.90,62.10,52.70,1,1,1
2018-01-05 16:23:19.0,19.80,20.90,62.10,52.50,1,1,1
2018-01-05 16:23:30.0,19.80,20.90,62.10,52.70,1,1,1
2018-01-05 16:23:40.0,19.80,20.90,62.10,52.90,1,1,1
2018-01-05 16:23:51.0,19.80,20.90,62.10,52.60,1,1,1
2018-01-05 16:24:02.0,19.80,20.90,62.10,52.80,1,1,1
2018-01-05 16:24:12.0,19.80,20.90,62.10,53.20,1,1,1
2018-01-05 16:24:23.0,19.80,20.90,62.00,53.40,1,1,1
2018-01-05 16:24:33.0,19.80,20.90,62.00,53.30,1,1,1
2018-01-05 16:24:44.0,19.80,20.90,62.00,53.10,1,1,1
2018-01-05 16:24:55.0,19.80,20.90,62.10,53.00,1,0,0
2018-01-05 16:25:05.0,19.80,20.90,62.00,53.00,1,0,0
2018-01-05 16:25:16.0,19.80,20.90,62.00,53.00,1,0,0
2018-01-05 16:25:27.0,19.90,20.90,61.90,53.00,1,0,0
2018-01-05 16:25:37.0,19.90,20.90,61.90,53.20,1,0,0
2018-01-05 16:25:48.0,19.80,20.90,61.90,52.90,1,0,0
2018-01-05 16:25:59.0,19.80,20.90,62.00,52.90,1,0,0
2018-01-05 16:26:09.0,19.80,20.90,62.00,53.10,1,0,0
2018-01-05 16:26:20.0,19.80,20.90,62.00,53.10,1,0,0
2018-01-05 16:26:32.0,19.90,20.90,62.00,53.30,1,0,0
2018-01-05 16:26:42.0,19.90,20.90,62.00,53.20,1,0,0
2018-01-05 16:26:53.0,19.90,20.90,62.00,53.00,1,0,0
